brand,cpu,gpu,os,storage_type,ram_gb,storage_gb,screen_inches,rating,warranty_years,cpu_physical_cores,cpu_threads,year,price
Avita,Intel Celeron  N4020,Intel Integrated UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,2.0,2023.0,20035.0
HP,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,13.5,66.0,1.0,10.0,12.0,2036.0,154999.0
HP,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,1024.0,16.1,75.0,1.0,12.0,16.0,2023.0,106590.0
HP,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,14.0,65.0,1.0,10.0,12.0,2023.0,79000.0
Dell,13th Gen Intel Core i5 1335U,Intel Graphics,Windows 11 OS,ssd,84.0,256.0,15.6,52.0,1.0,10.0,12.0,2023.0,97300.0
Acer,11th Gen Intel Core i5 1155G7,Intel Iris Xe Graphics,Windows 11 OS,ssd,84.0,1024.0,15.6,57.0,1.0,12.0,8.0,2023.0,44990.0
HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,53.0,1.0,12.0,8.0,2023.0,38990.0
Lenovo,12th Gen Intel Core i5 1235U,Intel UHD Graphics,DOS OS,ssd,84.0,512.0,14.0,52.0,3.0,10.0,12.0,2023.0,48989.0
HP,12th Gen Intel Core i7 12650H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,164.0,512.0,15.6,73.0,1.0,10.0,16.0,2023.0,94490.0
Infinix,10th Gen Intel Core i5 1035G1,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,50.0,1.0,12.0,8.0,2023.0,25990.0
Microsoft,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics ,Windows 11 OS,ssd,85.0,256.0,12.4,53.0,1.0,10.0,12.0,2023.0,78990.0
Acer,13th Gen Intel Core i5 1335U,Intel Integrated Iris Xe,Windows 11 OS,ssd,165.0,512.0,14.0,51.0,1.0,10.0,12.0,2023.0,59900.0
HP,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,60.0,1.0,12.0,12.0,2023.0,58999.0
Acer,5th Gen AMD Ryzen 5 5500U,AMD Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,57.0,1.0,12.0,12.0,2023.0,38790.0
Dell,13th Gen Intel Core i5 1335U,Intel Integrated,Windows 11 OS,ssd,85.0,512.0,14.0,61.0,1.0,10.0,12.0,2023.0,88990.0
Gigabyte,12th Gen Intel Core i5 12500H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,84.0,512.0,15.6,70.0,2.0,12.0,16.0,2023.0,72990.0
HP,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,85.0,512.0,15.6,65.0,1.0,12.0,12.0,2023.0,52850.0
HP,13th Gen Intel Core i7 13700H,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,1024.0,16.0,72.0,1.0,14.0,20.0,2023.0,124999.0
HP,5th Gen AMD Ryzen 7  5700U,AMD Radeon,Windows 11 OS,ssd,164.0,512.0,15.6,54.0,1.0,12.0,16.0,2004.0,50490.0
Lenovo,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,ssd,164.0,512.0,15.6,65.0,1.0,12.0,8.0,2023.0,52400.0
Dell,13th Gen Intel Core i5 1335U,Intel UHD Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,50.0,1.0,10.0,12.0,2023.0,66990.0
HP,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,1024.0,16.1,72.0,1.0,12.0,16.0,2023.0,103990.0
Asus,5th Gen AMD Ryzen 7 5800HS,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,1024.0,15.6,63.0,1.0,12.0,16.0,2023.0,76990.0
MSI,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,ssd,165.0,1024.0,16.0,77.0,1.0,16.0,24.0,2023.0,184990.0
Asus,7th Gen AMD Ryzen 5 7520U,AMD Radeon AMD,Windows 11 OS,ssd,165.0,512.0,14.0,56.0,1.0,12.0,8.0,2023.0,43990.0
Lenovo,13th Gen Intel Core i5 1340P,Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,68.0,1.0,12.0,16.0,2023.0,91190.0
Acer,7th Gen AMD Ryzen 5 7520U,AMD Radeon AMD,Windows 11 OS,ssd,85.0,512.0,15.6,51.0,1.0,12.0,8.0,2023.0,32790.0
Asus,7th Gen AMD Ryzen 5 7530U,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,61.0,1.0,12.0,12.0,2023.0,55990.0
Lenovo,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,16.0,79.0,1.0,12.0,16.0,2023.0,132190.0
Asus,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,164.0,512.0,16.0,57.0,1.0,12.0,8.0,2023.0,40990.0
MSI,11th Gen Intel Core i5 11260H,4 GB NVIDIA GeForce GTX 1650 Max Q,Windows 11 OS,ssd,164.0,512.0,15.6,61.0,2.0,12.0,12.0,2023.0,44990.0
Asus,7th Gen AMD Ryzen 7  7730U,Integrated AMD Radeon Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,62.0,1.0,12.0,16.0,2023.0,62950.0
Lenovo,12th Gen Intel Core i3 1215U,Intel UHD Graphics ,Windows 11 OS,ssd,84.0,256.0,15.6,53.0,1.0,12.0,8.0,2023.0,32990.0
Lenovo,7th Gen AMD Ryzen 3 7320U,AMD Radeon 610M,Windows 11 OS,ssd,85.0,512.0,15.6,51.0,1.0,12.0,8.0,2023.0,32290.0
Asus,Intel Celeron  N4500,Intel UHD Graphics,Windows 11 OS,ssd,84.0,128.0,11.6,62.0,1.0,12.0,12.0,2023.0,16490.0
Asus,12th Gen Intel Core i5 12450H ,6 GB NVIDIA Geforce RTX 4050,Windows 11 OS,ssd,164.0,512.0,16.0,66.0,1.0,12.0,12.0,2023.0,75000.0
Asus,13th Gen Intel Core i5 13500H,6 GB NVIDIA Geforce RTX 4050,Windows 11 OS,ssd,164.0,512.0,16.0,64.0,1.0,12.0,16.0,2023.0,89990.0
Lenovo,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce RTX 2050 ,Windows 11 OS,ssd,84.0,512.0,15.6,63.0,1.0,12.0,8.0,2023.0,62999.0
Asus,7th Gen AMD Ryzen 5 7520U,AMD Radeon AMD,Windows 11 OS,ssd,165.0,512.0,14.0,53.0,1.0,12.0,8.0,2023.0,45890.0
HP,12th Gen Intel Core i3 1215U,Intel Integrated,Windows 11 OS,ssd,84.0,512.0,15.6,56.0,1.0,12.0,8.0,2023.0,33900.0
Lenovo,6th Gen AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,84.0,512.0,15.6,64.0,1.0,12.0,16.0,2023.0,66990.0
Acer,11th Gen Intel Core i7 1165G7,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,60.0,1.0,12.0,8.0,2023.0,53499.0
Lenovo,13th Gen Intel Core i5 1340P,Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,1024.0,14.0,70.0,1.0,12.0,16.0,2023.0,91190.0
Asus,5th Gen AMD Ryzen 7 5800HS,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,60.0,1.0,12.0,16.0,2023.0,73990.0
Acer,Intel Celeron N4500,Intel Integrated UHD,Chrome OS,ssd,84.0,64.0,14.0,62.0,1.0,12.0,2.0,2023.0,22490.0
Asus,Intel   N4500,Intel Integrated UHD,Windows OS,ssd,84.0,256.0,14.0,62.0,1.0,12.0,2.0,2023.0,23990.0
Dell,13th Gen Intel Core i3 1315U,Intel UHD Graphics,Windows 11 OS,ssd,85.0,256.0,14.0,53.0,1.0,12.0,8.0,2023.0,54490.0
Lenovo,5th Gen AMD Ryzen 5 5500H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,59.0,1.0,12.0,8.0,2028.0,48490.0
Ultimus,Intel Celeron  N4020,Intel Integrated UHD Graphics,Windows 11 OS,ssd,44.0,128.0,14.1,62.0,1.0,12.0,2.0,2023.0,13990.0
Dell,11th Gen Intel Core i3 1115G4,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,12.0,4.0,2023.0,36490.0
Zebronics,12th Gen Intel Core i5 1235U,Intel Integrated,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,10.0,12.0,2023.0,31990.0
HP,13th Gen Intel Core i9 13900HX,16 GB NVIDIA GeForce RTX 4090 ,Windows 11  OS,ssd,325.0,1024.0,17.3,62.0,1.0,24.0,32.0,2011.0,339999.0
Primebook,MediaTek MT8183,ARM Mali G72,1 Year Warranty,hdd,44.0,64.0,11.6,62.0,2.0,12.0,12.0,2023.0,11990.0
Acer,13th Gen Intel Core i5 13420H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,165.0,512.0,15.6,60.0,1.0,12.0,12.0,2023.0,65990.0
Acer,Intel Celeron N4500,Intel Integrated UHD,Windows 11 OS,ssd,84.0,256.0,11.6,62.0,1.0,12.0,2.0,2023.0,19990.0
Zebronics,12th Gen Intel Core i7 1255U,Intel Integrated,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,10.0,12.0,2023.0,40990.0
HP,12th Gen Intel Core i5 1235U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,57.0,1.0,10.0,12.0,2023.0,49990.0
Acer,13th Gen Intel Core i5 13420H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,85.0,512.0,15.6,59.0,1.0,12.0,12.0,2023.0,63990.0
Ultimus,Intel Celeron  N4020,Intel Integrated UHD Graphics,Windows 11 OS,ssd,84.0,256.0,14.1,62.0,1.0,12.0,2.0,2023.0,15990.0
HP,7th Gen Amd Ryzen 7 7840H,AMD Radeon 780M Graphics,Windows 11 OS,ssd,165.0,1024.0,14.0,69.0,1.0,12.0,16.0,2023.0,88990.0
HP,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,512.0,17.3,75.0,1.0,16.0,24.0,2002.0,151990.0
HP,13th Gen Intel Core i7 13700HX,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,512.0,16.1,74.0,1.0,16.0,24.0,2023.0,161445.0
Lenovo,13th Gen Intel Core i5 13500H,Intel Integrated Iris Xe,Windows 11 OS,ssd,165.0,1024.0,14.0,54.0,1.0,12.0,16.0,2023.0,80990.0
Lenovo,13th Gen Intel Core i5 13500H,Intel Integrated Iris Xe,Windows 11 OS,ssd,165.0,512.0,14.0,53.0,1.0,12.0,16.0,2023.0,80190.0
Lenovo,13th Gen Intel Core i7 13700H,6 GB NVIDIA GeForce RTX 3050,Windows 11  OS,ssd,165.0,1024.0,16.0,60.0,3.0,14.0,20.0,2023.0,109190.0
Lenovo,5th Gen AMD Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,12.0,2027.0,51990.0
Asus,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,512.0,17.3,62.0,1.0,12.0,12.0,2023.0,64990.0
Lenovo,13th Gen Intel Core i5 1335U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,14.0,60.0,1.0,10.0,12.0,2023.0,73990.0
Lenovo,5th Gen AMD Ryzen 5  5500U,AMD Radeon,Windows 11 OS,ssd,84.0,512.0,15.6,52.0,1.0,12.0,12.0,2023.0,37990.0
Acer,Intel Celeron N4500,Intel Integrated UHD,Windows 11 OS,ssd,84.0,128.0,11.6,62.0,1.0,12.0,2.0,2023.0,17990.0
HP,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,53.0,1.0,12.0,8.0,2023.0,35999.0
Dell,13th Gen Intel Core i5 1335U,Intel Iris Xe Graphics,Windows 11 OS,ssd,85.0,512.0,14.0,50.0,1.0,10.0,12.0,2023.0,59290.0
Lenovo,13th Gen Intel Core i7 13700H,Intel Integrated Iris Xe,Windows 11 OS,ssd,165.0,512.0,14.0,55.0,1.0,14.0,20.0,2023.0,106000.0
Lenovo,7th Gen AMD Ryzen 5 7520U,AMD Radeon 610M,Windows 11 OS,ssd,85.0,512.0,15.6,52.0,1.0,12.0,8.0,2023.0,39790.0
Lenovo,7th Gen AMD Ryzen 7 7745HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,ssd,165.0,1024.0,16.0,62.0,1.0,12.0,16.0,2023.0,164190.0
Lenovo,13th Gen Intel Core i9 13900HX,12 GB NVIDIA Geforce RTX 4080,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,1.0,24.0,32.0,2023.0,298990.0
HP,12th Gen Intel Core i5 1235U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,1024.0,14.0,63.0,1.0,10.0,12.0,2023.0,66990.0
Lenovo,5th Gen AMD Ryzen 7 5800H,6 GB NVIDIA GeForce RTX 3060,Windows 11 OS,ssd,164.0,512.0,16.0,74.0,1.0,12.0,16.0,2023.0,103395.0
Lenovo,13th Gen Intel Core i5 13420H,Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,53.0,2.0,12.0,12.0,2023.0,72190.0
Lenovo,13th Gen Intel Core i7 13620H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,16.0,74.0,1.0,10.0,16.0,2023.0,139190.0
MSI,13th Gen Intel Core i9 13950HX,8 GB NVIDIA RTX 3000 Ada,Windows 11 OS,ssd,645.0,2048.0,16.0,62.0,2.0,24.0,12.0,2023.0,409990.0
Lenovo,6th Gen AMD Ryzen 7 6800HS ,4 GB NVIDIA GeForce RTX 3050,Windows 11  OS,ssd,165.0,512.0,16.0,63.0,3.0,12.0,16.0,2023.0,87774.0
Lenovo,13th Gen Intel Core i7 1360P,AMD Radeon Graphics,Windows 11 OS,ssd,165.0,1024.0,14.0,72.0,1.0,12.0,16.0,2023.0,114190.0
HP,Intel Celeron N4500,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,14.0,62.0,1.0,12.0,2.0,2023.0,24990.0
Lenovo,6th Gen AMD Ryzen 5 6600H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,84.0,512.0,15.6,57.0,1.0,12.0,12.0,2023.0,61712.0
Acer,11th Gen Intel Core i7 1165G7,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,1024.0,14.0,62.0,1.0,12.0,8.0,2023.0,49990.0
Primebook,MediaTek MT8183,ARM Mali G72,1 Year Warranty,hdd,44.0,128.0,11.6,62.0,2.0,12.0,12.0,2023.0,12990.0
Lenovo,12th Gen Intel Core i3 1215U,Intel UHD Graphics ,Windows 11 OS,ssd,84.0,256.0,15.6,53.0,1.0,12.0,8.0,2023.0,32500.0
Acer,Intel Celeron Dual Core N4500,Intel Integrated UHD,Chrome OS,hdd,44.0,64.0,11.6,62.0,1.0,12.0,2.0,2023.0,19990.0
Lenovo,13th Gen Intel Core i7 1355U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,14.0,61.0,1.0,10.0,12.0,2023.0,87990.0
Acer,13th Gen Intel Core i5 1335U,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,512.0,15.6,61.0,1.0,10.0,12.0,2023.0,60999.0
MSI,7th Gen AMD Ryzen 7 7735HS,4 GB AMD Radeon RX6550M,Windows 11 OS,ssd,165.0,512.0,15.6,65.0,1.0,12.0,16.0,2023.0,79990.0
Lenovo,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,63.0,1.0,12.0,8.0,2023.0,50712.0
Asus,6th Gen AMD Ryzen 7  6800H,4 GB NVIDIA GeForce RTX RTX 3050,Windows 11 OS,ssd,165.0,1024.0,15.6,66.0,1.0,12.0,16.0,2023.0,83990.0
Lenovo,7th Gen AMD Ryzen 3 7320U,AMD Radeon Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,52.0,1.0,12.0,8.0,2023.0,32000.0
Asus,13th Gen Intel Core i9 13900H,Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,1024.0,16.0,66.0,1.0,14.0,20.0,2023.0,95689.0
HP,11th Gen Intel Core i5 1135G7,Intel UHD Graphics,Windows 11 OS,ssd,164.0,512.0,14.0,65.0,1.0,12.0,8.0,2023.0,89900.0
Dell,11th Gen Intel Core i5 1135G7,Intel Integrated UHD Graphics,Windows 11  OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,8.0,2023.0,44890.0
Asus,5th Gen AMD Ryzen 5  5600H,AMD Radeon Graphics,Windows 11 OS,ssd,164.0,1024.0,14.0,55.0,1.0,12.0,12.0,2023.0,63990.0
Lenovo,6th Gen AMD Ryzen 5 6600H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,60.0,1.0,12.0,12.0,2023.0,63889.0
Asus,5th Gen AMD Ryzen 7 5800H,AMD Radeon Graphics,Windows 11 OS,ssd,164.0,1024.0,14.0,59.0,1.0,12.0,16.0,2023.0,68990.0
Lenovo,7th Gen AMD Ryzen 5 7520U,AMD Radeon 610M,Windows 11 OS,ssd,85.0,512.0,15.6,52.0,1.0,12.0,8.0,2023.0,37990.0
Lenovo,4th Gen AMD Ryzen 7 PRO 4750U,AMD Radeon Graphics,Windows 10 OS,ssd,164.0,512.0,14.0,55.0,1.0,12.0,16.0,2023.0,90000.0
Lenovo,5th Gen AMD Ryzen 5  5500H,4 GB  NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,57.0,1.0,12.0,8.0,2028.0,46490.0
Lenovo,12th Gen Intel Core i3 1215U,‎Intel UHD Graphics,Windows 11 OS,ssd,8.0,256.0,15.6,62.0,1.0,12.0,8.0,2023.0,32990.0
Dell,11th Gen Intel Core i5 1135G7,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,53.0,1.0,12.0,8.0,2023.0,42990.0
HP,3rd Gen AMD Athlon 3050U,AMD Integrated,Windows 11 OS,ssd,44.0,256.0,15.6,62.0,1.0,12.0,2.0,2023.0,21290.0
Lenovo,AMD Athlon 7120U,AMD Radeon 610M Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,62.0,1.0,12.0,2.0,2023.0,26990.0
Dell,13th Gen Intel Core i5 1335U,Intel Integrated Graphics ,Windows 11 OS,ssd,84.0,512.0,15.6,52.0,1.0,10.0,12.0,2023.0,55700.0
Lenovo,7th Gen AMD Ryzen 3 7320U,AMD Radeon,Windows 11 OS,ssd,85.0,512.0,14.0,62.0,1.0,12.0,8.0,2023.0,28990.0
Lenovo,12th Gen Intel Core i7 1255U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,15.6,59.0,1.0,10.0,12.0,2023.0,57990.0
Lenovo,12th Gen Intel Core i5 1235U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,59.0,1.0,10.0,12.0,2023.0,44990.0
MSI,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,2.0,16.0,24.0,2023.0,219990.0
Dell,5th Gen AMD Ryzen 5 5500U,AMD Radeon Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,52.0,1.0,12.0,12.0,2023.0,36990.0
Asus,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,16.0,64.0,1.0,10.0,16.0,2023.0,92990.0
Asus,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,1024.0,16.0,65.0,1.0,10.0,16.0,2023.0,94990.0
MSI,13th Gen Intel Core i7 13700H,8 GB NVIDIA GeForce RTX A2000 Ada,Windows 11 OS,ssd,325.0,1024.0,16.0,79.0,2.0,14.0,20.0,2023.0,249990.0
Lenovo,13th Gen Intel Core i3 1305U,Intel UHD Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,62.0,1.0,5.0,6.0,2023.0,43590.0
HP,12th Gen Intel Core i5 1235U,Intel Integrated,Windows 11 OS,ssd,84.0,512.0,14.0,59.0,1.0,10.0,12.0,2023.0,64490.0
Lenovo,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,Windows 11 OS,ssd,164.0,512.0,14.0,65.0,1.0,12.0,12.0,2023.0,62990.0
Dell,13th Gen Intel Core i5 1335U,Intel UHD Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,52.0,1.0,10.0,12.0,2023.0,66450.0
Lenovo,11th Gen Intel Core i3 1115G4,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,12.0,4.0,2023.0,35232.0
HP,12th Gen Intel Core i7 1255U,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,1024.0,16.0,69.0,1.0,10.0,12.0,2023.0,124000.0
Asus,6th Gen AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,17.3,68.0,1.0,12.0,16.0,2023.0,79990.0
Lenovo,11th Gen Intel Core i5 1155G7,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,55.0,1.0,12.0,8.0,2023.0,47490.0
HP,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,12.0,2023.0,59990.0
Infinix,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,1024.0,14.0,55.0,1.0,12.0,8.0,2023.0,36990.0
Lenovo,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce GTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,60.0,1.0,12.0,8.0,2023.0,50990.0
Acer,11th Gen Intel Core i3 1115G4,Intel UHD Graphics ,Windows 11 OS,ssd,164.0,512.0,15.6,57.0,1.0,12.0,4.0,2023.0,35499.0
Lenovo,7th Gen AMD Ryzen 7 7730U,AMD Radeon Graphics,Windows 11 OS,ssd,164.0,1024.0,13.3,66.0,1.0,12.0,16.0,2007.0,86190.0
Lenovo,5th Gen AMD Ryzen 7 5700U,AMD Radeon,Windows 11 OS,ssd,164.0,512.0,14.0,60.0,1.0,12.0,16.0,2023.0,64990.0
Ultimus,10th Gen Intel Core i3 1005G1,Intel Integrated Iris,Windows 11 OS,ssd,84.0,256.0,14.1,62.0,1.0,12.0,4.0,2023.0,22000.0
Microsoft,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics ,Windows 11 OS,ssd,165.0,256.0,12.4,56.0,1.0,10.0,12.0,2023.0,89990.0
HP,5th Gen AMD Ryzen 5  5600H ,4 GB AMD Radeon RX 6500M,Windows 11 OS,ssd,84.0,512.0,15.6,63.0,1.0,12.0,12.0,2023.0,50490.0
Lenovo,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,512.0,16.0,78.0,1.0,12.0,16.0,2023.0,128990.0
Lenovo,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,63.0,1.0,12.0,8.0,2023.0,50990.0
Lenovo,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,512.0,16.0,75.0,1.0,12.0,16.0,2023.0,114190.0
HP,13th Gen Intel Core i7 1355U ,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,14.0,65.0,1.0,10.0,12.0,2023.0,89990.0
Lenovo,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,63.0,1.0,12.0,12.0,2023.0,67990.0
HP,13th Gen Intel Core i5 13500H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,16.0,2023.0,97000.0
Lenovo,12th Gen Intel Core i5 1235U,Intel UHD Graphics,Windows 11 OS,ssd,8.0,512.0,14.0,51.0,3.0,10.0,12.0,2023.0,47990.0
Lenovo,13th Gen Intel Core i7 13700H,Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,1024.0,14.5,61.0,1.0,14.0,20.0,2023.0,104900.0
HP,7th Gen AMD Ryzen 3 7320U,AMD Radeon AMD,Windows 11 OS,ssd,85.0,512.0,15.6,52.0,1.0,12.0,8.0,2023.0,36990.0
Lenovo,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,512.0,16.0,79.0,1.0,12.0,16.0,2023.0,130990.0
Acer,13th Gen Intel Core i3 1305U,Intel UHD Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,62.0,1.0,5.0,6.0,2023.0,40990.0
HP,12th Gen Intel Core i7 1250U,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,1024.0,17.0,66.0,1.0,10.0,12.0,2023.0,415000.0
Asus,Intel Celeron N4020,Intel Integrated UHD 600,Windows OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,2.0,2023.0,27490.0
Fujitsu,13th Gen Intel Core i5 1334U,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,13.3,61.0,2.0,10.0,12.0,2023.0,59806.0
Asus,11th Gen Intel Core i3 1115G4,Intel Integrated UHD,Windows 11 OS,ssd,84.0,256.0,15.6,53.0,1.0,12.0,4.0,2023.0,28990.0
Fujitsu,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,13.3,62.0,2.0,10.0,12.0,2023.0,69990.0
Asus,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,164.0,512.0,15.6,54.0,1.0,12.0,8.0,2023.0,39990.0
Asus,7th Gen AMD Ryzen 7  7730U,Integrated AMD Radeon Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,63.0,1.0,12.0,16.0,2023.0,62990.0
Asus,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,56.0,1.0,10.0,12.0,2023.0,50990.0
HP,13th Gen Intel Core i5 1335U,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,55.0,1.0,10.0,12.0,2023.0,72990.0
Acer,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,85.0,512.0,15.6,56.0,1.0,12.0,12.0,2023.0,75990.0
HP,Intel Celeron N4500,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,2.0,2023.0,28990.0
