brand,cpu,gpu,os,storage_type,ram_gb,storage_gb,screen_inches,rating,warranty_years,cpu_physical_cores,cpu_threads,year,price
Dell,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,1024.0,15.6,68.0,1.0,10.0,16.0,2023.0,79990.0
Asus,6th Gen AMD Ryzen 9 6900HS​,4 GB ‎NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,13.4,74.0,1.0,12.0,16.0,2023.0,84990.0
Samsung,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,512.0,16.0,72.0,1.0,16.0,22.0,2023.0,199990.0
Lenovo,7th Gen AMD Ryzen 3 7330U,AMD Radeon AMD,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,8.0,2023.0,33600.0
Zebronics,12th Gen Intel Core i3 1215U,Intel Integrated,Windows 11 OS,ssd,84.0,512.0,15.6,61.0,1.0,12.0,8.0,2023.0,27990.0
Asus,11th Gen Intel Core i7 11800H,4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,ssd,164.0,1024.0,15.6,71.0,1.0,12.0,16.0,2023.0,79899.0
Acer,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,512.0,15.6,59.0,1.0,12.0,12.0,2023.0,77990.0
Lenovo,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,165.0,512.0,15.6,64.0,1.0,12.0,12.0,2023.0,59990.0
Asus,12th Gen Intel Core i7 12650H,6 GB NVIDIA Geforce RTX 4050,Windows 11 OS,ssd,164.0,512.0,16.0,72.0,1.0,10.0,16.0,2023.0,86990.0
HP,3rd Gen AMD Athlon 3050U,AMD Integrated,DOS OS,ssd,44.0,256.0,15.6,62.0,1.0,12.0,2.0,2023.0,19979.0
Asus,12th Gen Intel Core i7 12700H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,164.0,512.0,15.6,74.0,1.0,14.0,20.0,2023.0,99990.0
HP,6th Gen AMD Ryzen 7  6800H,8 GB NVIDIA GeForce RTX 3070 Ti ,Windows 11 OS,ssd,165.0,1024.0,16.1,73.0,1.0,12.0,16.0,2023.0,112990.0
Dell,12th Gen Intel Core i5 1240P,Intel Integrated UHD,Windows 11 OS,ssd,165.0,512.0,14.0,62.0,1.0,12.0,16.0,2023.0,69999.0
Asus,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,12.0,2023.0,59990.0
Samsung,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,13.3,63.0,1.0,12.0,16.0,2023.0,72990.0
Samsung,Intel Core 5 Processor Series 1 120U,Intel Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,53.0,1.0,10.0,12.0,2023.0,70990.0
Asus,Intel Core 5 Processor Series 1 120U,Integrated Intel Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,55.0,1.0,10.0,12.0,2024.0,67990.0
HP,7th Gen AMD Ryzen 7 7730U,AMD Radeon Vega 8 Graphics,Windows 11 OS,ssd,164.0,1024.0,15.6,64.0,1.0,12.0,16.0,2023.0,69990.0
Lenovo,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,ssd,165.0,1024.0,16.0,62.0,1.0,14.0,18.0,2023.0,75990.0
HP,8th Gen AMD Ryzen 7 8840HS,AMD Radeon Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,69.0,1.0,12.0,16.0,2023.0,96990.0
Asus,14th Gen Intel Core i9 14900HX,16 GB NVIDIA GeForce RTX 4090,Windows 11 OS,ssd,325.0,2048.0,16.0,62.0,1.0,24.0,32.0,2024.0,329990.0
Lenovo,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,Windows 11 OS,ssd,164.0,512.0,15.6,65.0,1.0,12.0,16.0,2023.0,49990.0
HP,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics,Windows 11 OS,ssd,324.0,1024.0,13.5,72.0,1.0,10.0,12.0,2035.0,146990.0
HP,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,14.0,77.0,1.0,16.0,22.0,2023.0,174999.0
Lenovo,12th Gen Intel Core i5 12450H,Intel Integrated UHD Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,57.0,1.0,12.0,12.0,2023.0,55390.0
Honor,12th Gen Intel Core i5 12450H,Intel UHD Graphics,Windows 11 OS,ssd,164.0,512.0,16.0,54.0,1.0,12.0,12.0,2024.0,46990.0
HP,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,325.0,1024.0,16.0,62.0,1.0,12.0,16.0,2023.0,135999.0
Acer,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,56.0,1.0,12.0,8.0,2023.0,34880.0
HP,14th Gen Intel Core i7 14700HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,16.1,79.0,1.0,20.0,28.0,2023.0,138990.0
MSI,14th Gen Intel Core i9 14900HX,"18 inches, 3840 x 2400 pixels",2 Year Warranty,other,2.0,16.0,11.0,62.0,1.0,12.0,12.0,2023.0,599990.0
Lenovo,12th Gen Intel Core i5 12450H,Intel Integrated UHD Graphics,Windows 11 OS,ssd,165.0,512.0,15.6,57.0,1.0,12.0,12.0,2023.0,53490.0
Samsung,Intel Core Ultra 7 155H,6 GB NVIDIA GeForce RTX 4050,Backlit Keyboard,ssd,325.0,1024.0,16.0,75.0,1.0,16.0,22.0,2023.0,299999.0
HP,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,1024.0,15.6,68.0,1.0,12.0,12.0,2023.0,65690.0
Colorful,12th Gen Intel Core i7 12650H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,512.0,15.6,70.0,1.0,10.0,16.0,2023.0,89999.0
Apple,Apple M3 Max,40 Core GPU,Mac OS,ssd,48.0,1024.0,16.2,65.0,1.0,16.0,12.0,2023.0,399900.0
Dell,13th Gen Intel Core i7 1355U,Intel UHD Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,53.0,1.0,10.0,12.0,2023.0,69990.0
Asus,12th Gen Intel Core i3 1220P,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,53.0,1.0,10.0,12.0,2023.0,39990.0
HP,13th Gen Intel Core i7 1360P,Intel Iris Xe Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,64.0,1.0,12.0,16.0,2023.0,84700.0
