feature_name,mean_abs_shap
cat__gpu_4 GB NVIDIA RTX A500,0.0
cat__gpu_4 GB NVIDIA RTX NVIDIA T550,0.0
cat__gpu_4 GB Nvidia RTX 3050,0.0
cat__gpu_4 GB ‎NVIDIA GeForce RTX 3050,0.0
cat__gpu_4 GB ‎NVIDIA Quadro T600,0.0
cat__cpu_Intel Core i7 7820HK 2.9GHz,0.0
cat__cpu_Intel Core i7 7500U 2.7GHz,0.0
cat__cpu_Intel Core i7 7700HQ 2.7GHz,0.0
cat__cpu_Intel Atom x5-Z8550 1.44GHz,0.0
cat__cpu_Intel Celeron  N4020 ,0.0
cat__cpu_Intel Celeron  N4500,0.0
cat__cpu_Intel Celeron Dual Core 3205U 1.5GHz,0.0
cat__cpu_Intel Celeron Dual Core 3855U 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3050 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3060 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3350 1.1GHz,0.0
cat__cpu_Intel Celeron Dual Core N3350 2.0GHz,0.0
cat__cpu_Intel Celeron Dual Core N4500,0.0
cat__cpu_Intel Celeron N4020,0.0
cat__cpu_Intel Celeron N4500,0.0
cat__cpu_Intel Celeron Quad Core N3160 1.6GHz,0.0
cat__cpu_Intel Celeron Quad Core N3450 1.1GHz,0.0
cat__cpu_Intel Celeron Quad Core N3710 1.6GHz,0.0
cat__cpu_Intel Core 3 Processor 100U,0.0
cat__cpu_Intel Core 5 Processor Series 1 120U,0.0
cat__cpu_Intel Core 7 Processor Series 1 150U,0.0
cat__cpu_Intel Core M 1.1GHz,0.0
cat__cpu_Intel Core M 1.2GHz,0.0
cat__cpu_Intel Core M 6Y30 0.9GHz,0.0
cat__cpu_Intel Core M 6Y54 1.1GHz,0.0
cat__cpu_Intel Core M 6Y75 1.2GHz,0.0
cat__cpu_Intel Core M 7Y30 1.0GHz,0.0
cat__cpu_Intel Celeron  N4020,0.0
cat__cpu_Intel Atom x5-Z8350 1.44GHz,0.0
cat__cpu_Intel Core M M7-6Y75 1.2GHz,0.0
cat__cpu_Intel Atom x5-Z8300 1.44GHz,0.0
cat__cpu_Custom 3.83GHz,0.0
cat__cpu_Custom 3.84GHz,0.0
cat__cpu_Custom 3.85GHz,0.0
cat__cpu_Custom 3.86GHz,0.0
cat__cpu_Custom 3.87GHz,0.0
cat__cpu_Custom 3.88GHz,0.0
cat__cpu_Custom 3.89GHz,0.0
cat__cpu_Custom 3.90GHz,0.0
cat__cpu_Custom 3.91GHz,0.0
cat__cpu_Custom 3.92GHz,0.0
cat__cpu_Custom 3.93GHz,0.0
cat__cpu_Custom 3.94GHz,0.0
cat__cpu_Custom 3.95GHz,0.0
cat__cpu_Custom 3.96GHz,0.0
cat__cpu_Custom 3.97GHz,0.0
cat__cpu_Custom 3.98GHz,0.0
cat__cpu_Custom 3.99GHz,0.0
cat__cpu_Custom 4.00GHz,0.0
cat__cpu_HiSilicon  Kirin 9006C 9006C,0.0
cat__cpu_Intel   N4500,0.0
cat__cpu_Intel Atom Quad Core Z3735F,0.0
cat__cpu_Intel Atom X5-Z8350 1.44GHz,0.0
cat__cpu_Intel Atom Z8350 1.92GHz,0.0
cat__cpu_Intel Core M M3-6Y30 0.9GHz,0.0
